TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
8.71721080e-11,1.33819589e+00,2.22393185e+00,1.80000000e+00,2.07922808e+00,1.34127201e+00,-1.55755692e-02,1.33819589e+00,3.01761673e-02,-1.69064228e-04,-1.67573555e-04,-1.74758945e-05,3.19502003e-05
8.85534312e-11,1.38792352e+00,2.24075561e+00,1.80000000e+00,2.05857270e+00,1.18535492e+00,-2.65057333e-02,1.38792352e+00,2.02990632e-02,-1.73310131e-04,-1.68665597e-04,-1.41753927e-05,2.33582534e-05
8.99347543e-11,1.43765116e+00,2.25832600e+00,1.80000000e+00,2.02081093e+00,1.01427077e+00,-3.52938753e-02,1.43765116e+00,1.23002079e-02,-1.72447941e-04,-1.68520001e-04,-1.12730824e-05,6.78930948e-06
9.13160775e-11,1.48737879e+00,2.27637686e+00,1.80000000e+00,1.95635223e+00,8.24014514e-01,-4.11123707e-02,1.48737879e+00,6.25454007e-03,-1.72460529e-04,-1.64516416e-04,-5.57596657e-06,-1.62230340e-05
9.26974006e-11,1.53710642e+00,2.29462129e+00,1.80000000e+00,1.85451879e+00,6.09026391e-01,-4.14541828e-02,1.53710642e+00,2.77391144e-03,-1.68854014e-04,-1.59540983e-04,4.58615587e-06,-4.28356863e-05
9.40787238e-11,1.58683406e+00,2.31308077e+00,1.80000000e+00,1.73460080e+00,3.86353007e-01,-3.02820810e-02,1.58683406e+00,3.78747159e-03,-1.73972060e-04,-1.58403663e-04,2.77657286e-05,-5.21547196e-05
9.54600470e-11,1.63656169e+00,2.33220443e+00,1.80000000e+00,1.62949944e+00,2.18558508e-01,-5.61305871e-03,1.63656169e+00,1.12792516e-02,-1.75679590e-04,-1.62484270e-04,4.36701899e-05,4.38301364e-06
9.66831993e-11,1.68059517e+00,2.34960938e+00,1.80000000e+00,1.55136016e+00,1.22624886e-01,2.05337929e-02,1.68059517e+00,2.23105018e-02,-1.50390005e-04,-1.36450833e-04,4.18362548e-05,1.37352177e-05
9.79063516e-11,1.72462866e+00,2.36722847e+00,1.80000000e+00,1.48902210e+00,6.68919127e-02,4.54357126e-02,1.72462866e+00,3.33167237e-02,-1.45947746e-04,-1.35205086e-04,3.95989658e-05,5.67035081e-05
9.91295039e-11,1.76866214e+00,2.38473171e+00,1.80000000e+00,1.43967775e+00,3.74565245e-02,6.74345423e-02,1.76866214e+00,4.48093042e-02,-1.27678109e-04,-1.18131078e-04,3.23424574e-05,5.23470473e-05
