TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
3.80868435e-10,3.26222056e-02,1.80000000e+00,1.80000000e+00,5.19679690e-01,-1.73888357e-06,-7.72722307e-06,8.59191643e-05,-9.98871490e-05
3.86207076e-10,1.85845094e-02,1.80000000e+00,1.80000000e+00,7.47021035e-01,-5.92522491e-07,-2.79058291e-06,8.44173434e-05,-9.43427069e-05
3.91545716e-10,1.29711853e-02,1.80000000e+00,1.80000000e+00,9.65035064e-01,-3.44259554e-07,-1.41522497e-06,7.89306320e-05,-8.79296565e-05
3.96884357e-10,1.06608213e-02,1.80000000e+00,1.80000000e+00,1.16452193e+00,-4.14760848e-08,-3.15825479e-07,7.05357841e-05,-7.80052480e-05
4.02222997e-10,1.04187098e-02,1.80000000e+00,1.80000000e+00,1.33205515e+00,8.08200830e-10,1.34422364e-07,5.49892184e-05,-6.39671583e-05
4.07561638e-10,1.15354605e-02,1.80000000e+00,1.80000000e+00,1.45926949e+00,1.86320380e-07,7.02308024e-07,4.03266880e-05,-4.94623212e-05
4.12366414e-10,1.17777449e-02,1.80000000e+00,1.80000000e+00,1.54497026e+00,-1.41869665e-07,-5.00605057e-07,3.10196274e-05,-3.96886318e-05
4.17171191e-10,1.09524179e-02,1.80000000e+00,1.80000000e+00,1.61001393e+00,-1.11068570e-08,-1.86483741e-07,2.31295441e-05,-3.03127521e-05
4.21975967e-10,9.48851764e-03,1.80000000e+00,1.80000000e+00,1.65912139e+00,-2.61455615e-07,-1.03222039e-06,1.77526601e-05,-2.38469076e-05
4.26780744e-10,7.82529194e-03,1.80000000e+00,1.80000000e+00,1.69595762e+00,-4.74643507e-08,-3.52423177e-07,1.29136816e-05,-1.75095314e-05
4.31585520e-10,6.23223180e-03,1.80000000e+00,1.80000000e+00,1.72341165e+00,-2.49444651e-07,-9.73807214e-07,9.94193923e-06,-1.37134993e-05
4.36390296e-10,4.84464611e-03,1.80000000e+00,1.80000000e+00,1.74376781e+00,-8.52719324e-09,-1.81364694e-07,7.00466080e-06,-9.66026796e-06
4.45999849e-10,2.77387547e-03,1.80000000e+00,1.80000000e+00,1.77028125e+00,-1.84624081e-07,-6.80598670e-07,4.03162157e-06,-5.69531721e-06
