sub_dir,.param cbn,.param cbp,D0,D1,D2,D3
run_480_720,480m,720m,7.048073e-11,2.536869e-10,7.048073e-11,2.536870e-10
run_540_780,540m,780m,6.313194e-11,2.334948e-10,6.313194e-11,2.334948e-10
run_580_680,580m,680m,5.928414e-11,2.390031e-10,5.928414e-11,2.390031e-10
run_650_980,650m,980m,5.463561e-11,1.958733e-10,5.463561e-11,1.958732e-10
run_460_640,460m,640m,7.309861e-11,2.711573e-10,7.309861e-11,2.711574e-10
run_550_420,550m,420m,6.455595e-11,3.375448e-10,6.455595e-11,3.375451e-10
run_610_420,610m,420m,5.539861e-11,3.157344e-10,5.539861e-11,3.157347e-10
run_540_840,540m,840m,6.351915e-11,2.264253e-10,6.351916e-11,2.264253e-10
run_600_440,600m,440m,5.721148e-11,3.068993e-10,5.721148e-11,3.068997e-10
run_660_980,660m,980m,5.431314e-11,1.952864e-10,5.431314e-11,1.952863e-10
run_470_920,470m,920m,7.357926e-11,2.355831e-10,7.357926e-11,2.355831e-10
run_550_880,550m,880m,6.794264e-11,2.309408e-10,6.794264e-11,2.309408e-10
run_640_860,640m,860m,5.773254e-11,2.142872e-10,5.773254e-11,2.142871e-10
run_470_720,470m,720m,7.208293e-11,2.565165e-10,7.124260e-11,2.604111e-10
run_470_900,470m,900m,7.343919e-11,2.373871e-10,7.343919e-11,2.373871e-10
run_650_600,650m,600m,5.259332e-11,2.418897e-10,5.259332e-11,2.418897e-10
run_590_760,590m,760m,5.955187e-11,2.293722e-10,5.955188e-11,2.293721e-10
run_420_780,420m,780m,8.211757e-11,2.673116e-10,8.211757e-11,2.673117e-10
run_440_560,440m,560m,7.612350e-11,3.065264e-10,7.612350e-11,3.065266e-10
run_530_760,530m,760m,6.403676e-11,2.373098e-10,6.403676e-11,2.373098e-10
run_580_640,580m,640m,5.900531e-11,2.454258e-10,5.900532e-11,2.454259e-10
run_420_980,420m,980m,8.364979e-11,2.388649e-10,8.265142e-11,2.385167e-10
run_440_680,440m,680m,7.710866e-11,2.713911e-10,7.710866e-11,2.713912e-10
run_440_980,440m,980m,7.942882e-11,2.383796e-10,7.942882e-11,2.383796e-10
run_490_920,490m,920m,7.040378e-11,2.304637e-10,7.040378e-11,2.304637e-10
run_480_920,480m,920m,7.195037e-11,2.329645e-10,7.195037e-11,2.329645e-10
run_500_920,500m,920m,6.893358e-11,2.280612e-10,6.893358e-11,2.280612e-10
run_520_960,520m,960m,6.643772e-11,2.195036e-10,6.643772e-11,2.195035e-10
run_640_580,640m,580m,5.603577e-11,2.527572e-10,5.603577e-11,2.527573e-10
run_630_760,630m,760m,5.726370e-11,2.248444e-10,5.726371e-11,2.248443e-10
run_570_520,570m,520m,5.966268e-11,2.808508e-10,6.044102e-11,2.772432e-10
run_600_900,600m,900m,6.018050e-11,2.150857e-10,6.018050e-11,2.150856e-10
run_460_660,460m,660m,7.327060e-11,2.675685e-10,7.327060e-11,2.675686e-10
run_650_740,650m,740m,5.334488e-11,2.199601e-10,5.334488e-11,2.199601e-10
run_530_460,530m,460m,6.188014e-11,3.066911e-10,6.188014e-11,3.066915e-10
run_470_960,470m,960m,7.383730e-11,2.314150e-10,7.383730e-11,2.314150e-10
run_570_920,570m,920m,6.306378e-11,2.182275e-10,6.306378e-11,2.182275e-10
run_610_580,610m,580m,5.576207e-11,2.570253e-10,5.650067e-11,2.540139e-10
run_560_840,560m,840m,6.500247e-11,2.293641e-10,6.500247e-11,2.293641e-10
run_570_760,570m,760m,6.204705e-11,2.339376e-10,6.204705e-11,2.339376e-10
run_490_420,490m,420m,6.659450e-11,3.409650e-10,6.659450e-11,3.409653e-10
run_420_480,420m,480m,7.947250e-11,3.396529e-10,7.947250e-11,3.396530e-10
run_590_720,590m,720m,5.929197e-11,2.337637e-10,5.929198e-11,2.337637e-10
run_550_800,550m,800m,6.739970e-11,2.393213e-10,6.739971e-11,2.393214e-10
run_480_680,480m,680m,7.016049e-11,2.586868e-10,7.016049e-11,2.586869e-10
run_640_940,640m,940m,5.817201e-11,2.069823e-10,5.817202e-11,2.069823e-10
run_530_540,530m,540m,6.249430e-11,2.743784e-10,6.249430e-11,2.743786e-10
run_430_420,430m,420m,7.680206e-11,3.617484e-10,7.680206e-11,3.617485e-10
run_420_960,420m,960m,8.352165e-11,2.470360e-10,8.352165e-11,2.470361e-10
run_430_600,430m,600m,7.845298e-11,2.972455e-10,7.845298e-11,2.972457e-10
run_620_820,620m,820m,5.779134e-11,2.192965e-10,5.779134e-11,2.192965e-10
run_550_1000,550m,1000m,6.866085e-11,2.212830e-10,6.866086e-11,2.212830e-10
run_470_880,470m,880m,7.329872e-11,2.393283e-10,7.329872e-11,2.393283e-10
run_420_880,420m,880m,8.293371e-11,2.557901e-10,8.293371e-11,2.557902e-10
run_650_640,650m,640m,5.276487e-11,2.338575e-10,5.276487e-11,2.338575e-10
run_460_760,460m,760m,7.409530e-11,2.549526e-10,7.409530e-11,2.549527e-10
run_420_700,420m,700m,8.142328e-11,2.768866e-10,8.142328e-11,2.768867e-10
run_630_840,630m,840m,5.773175e-11,2.158994e-10,5.773176e-11,2.158993e-10
run_480_620,480m,620m,6.971255e-11,2.693654e-10,6.971255e-11,2.693655e-10
run_480_760,480m,760m,7.079066e-11,2.491905e-10,7.079066e-11,2.491906e-10
run_420_660,420m,660m,8.105449e-11,2.859919e-10,8.105448e-11,2.859920e-10
run_650_780,650m,780m,5.358285e-11,2.158073e-10,5.358285e-11,2.158073e-10
run_650_500,650m,500m,5.207237e-11,2.654978e-10,5.242243e-11,2.638846e-10
run_480_640,480m,640m,6.983021e-11,2.651776e-10,6.983021e-11,2.651778e-10
run_650_540,650m,540m,5.229073e-11,2.559560e-10,5.229073e-11,2.559561e-10
run_520_660,520m,660m,6.438855e-11,2.514689e-10,6.438855e-11,2.514690e-10
run_590_480,590m,480m,5.771191e-11,2.850195e-10,5.771192e-11,2.850199e-10
run_480_860,480m,860m,7.153643e-11,2.387333e-10,7.153643e-11,2.387333e-10
run_530_780,530m,780m,6.417671e-11,2.353786e-10,6.417671e-11,2.353786e-10
run_480_440,480m,440m,6.737722e-11,3.292576e-10,6.828010e-11,3.251276e-10
run_460_480,460m,480m,7.180763e-11,3.221494e-10,7.180763e-11,3.221496e-10
run_560_740,560m,740m,6.433041e-11,2.405864e-10,6.433041e-11,2.405864e-10
